record_type,phase,component,pixel,row,col,x_um,y_um,value_nT,unit
B,pos-off,By,30,0,30,100.0,-100.0,-38.74903119973217,nT
B,pos-off,Bz,30,0,30,100.0,-100.0,-1497.0361354746924,nT
B,neg-off,Bx,30,0,30,100.0,-100.0,-4.700120153463251,nT
B,neg-off,By,30,0,30,100.0,-100.0,-644.1027653610641,nT
B,neg-off,Bz,30,0,30,100.0,-100.0,1814.7864625254722,nT
B,pos-off,Bx,959,1,0,-100.0,-93.33333333333333,888.6737890488222,nT
B,pos-off,By,959,1,0,-100.0,-93.33333333333333,2044.4080828960095,nT
B,pos-off,Bz,959,1,0,-100.0,-93.33333333333333,968.3146740330583,nT
B,neg-off,Bx,959,1,0,-100.0,-93.33333333333333,-945.1091685836398,nT
B,neg-off,By,959,1,0,-100.0,-93.33333333333333,-3979.791093911527,nT
B,neg-off,Bz,959,1,0,-100.0,-93.33333333333333,-1670.8486575494003,nT
B,pos-off,Bx,900,1,1,-93.33333333333333,-93.33333333333333,1354.493223812515,nT
B,pos-off,By,900,1,1,-93.33333333333333,-93.33333333333333,2984.3377221245564,nT
B,pos-off,Bz,900,1,1,-93.33333333333333,-93.33333333333333,3575.6918061535894,nT
B,neg-off,Bx,900,1,1,-93.33333333333333,-93.33333333333333,-1995.1301772688712,nT
B,neg-off,By,900,1,1,-93.33333333333333,-93.33333333333333,-5383.436184107659,nT
B,neg-off,Bz,900,1,1,-93.33333333333333,-93.33333333333333,-5286.630679598561,nT
B,pos-off,Bx,897,1,2,-86.66666666666667,-93.33333333333333,569.104722906686,nT
B,pos-off,By,897,1,2,-86.66666666666667,-93.33333333333333,2003.6172215905558,nT
B,pos-off,Bz,897,1,2,-86.66666666666667,-93.33333333333333,2721.2800220011795,nT
B,neg-off,Bx,897,1,2,-86.66666666666667,-93.33333333333333,-1084.9828287010166,nT
B,neg-off,By,897,1,2,-86.66666666666667,-93.33333333333333,-3671.6342428639705,nT
