pixel,row,col,x_um,y_um,OFF_start_s,OFF_end_s,OFF_first_frame,OFF_last_frame,POS_time_requested_s,NEG_time_requested_s,POS_time_actual_s,NEG_time_actual_s,POS_frame,NEG_frame,dV_pos_d1_V,dV_neg_d1_V,deltaNu_pos_d1_MHz,deltaNu_neg_d1_MHz,dV_pos_d2_V,dV_neg_d2_V,deltaNu_pos_d2_MHz,deltaNu_neg_d2_MHz,dV_pos_d3_V,dV_neg_d3_V,deltaNu_pos_d3_MHz,deltaNu_neg_d3_MHz,dV_pos_d4_V,dV_neg_d4_V,deltaNu_pos_d4_MHz,deltaNu_neg_d4_MHz,Bx_pos_nT,Bx_neg_nT,Bx_odd_nT,Bx_even_nT,By_pos_nT,By_neg_nT,By_odd_nT,By_even_nT,Bz_pos_nT,Bz_neg_nT,Bz_odd_nT,Bz_even_nT
310,0,20,33.33333333333334,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0024510937911172296,-0.0011339137105873666,-0.4086518491353446,0.1890486346425106,0.0005820156770118869,-0.0012493850617229104,-0.08487286576918097,0.1821924989753545,-0.00025835375585807737,0.00021121343926834625,0.09726651379557175,-0.07951885520754837,7.313339059314186e-05,-1.494589501456058e-05,-0.037892948493838216,0.007743987054172855,11265.065599644518,-8414.414161964432,9839.739880804475,1425.325718840043,-323.93049513270023,740.2935075750869,-532.1120013538936,208.18150622119333,3135.663685990845,1139.7295091106885,997.9670884400782,2137.6965975507665
309,0,21,40.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0019574500364177173,-0.0010681957732814524,-0.3263504562212364,0.1780919928776186,0.0005717614121972943,-0.0011049218898522206,-0.08337753003245513,0.16112605028840485,-0.00020642573200008158,0.0001522940977921994,0.07771635152994114,-0.057336561315665446,8.495173292176845e-05,-2.502098575514629e-05,-0.04401644192835691,0.01296424132390395,9352.153465300933,-7699.000892656702,8525.577178978818,826.5762863221157,93.95104381823036,199.28454575686587,-52.666750969317754,146.61779478754812,2054.457409260406,747.7756782808588,653.3408654897737,1401.1165437706325
248,0,22,46.666666666666686,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0011824120632064263,-0.001155544964002499,-0.19713438866368294,0.19265504568204078,0.0003915443450555978,-0.000937259861829519,-0.05709724317255275,0.13667661127669797,-0.00044808872833498897,0.00034055455001658167,0.1686990318041965,-0.12821394342542103,0.00010220314938124366,-7.724250976577125e-05,-0.05295499967937617,0.04002202578535504,5759.7975679657475,-7462.2628905166475,6611.030229241198,-851.23266127545,-2118.1409130650827,1257.6193116807394,-1687.880112372911,-430.26080069217164,-942.6906152645643,1516.4997347595802,-1229.595175012072,286.90455974750796
247,0,23,53.33333333333334,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0010102616740155824,-0.0009936264600290778,-0.16843309003237206,0.16565962988124144,0.0003620741805200982,-0.000824325506692177,-0.05279973467302474,0.12020787556581286,-0.0004143452781803457,0.00032602942251668156,0.1559951028480416,-0.12274543955305009,0.00010575368931256763,-7.52621590032266e-05,-0.054794657674879954,0.03899593730735311,5009.928044796396,-6473.455834163617,5741.691939480006,-731.7638946836105,-1855.452500108659,1256.8248379518761,-1556.1386690302675,-299.31383107839144,-1174.1535005370115,1587.2574394530811,-1380.7054699950463,206.55196945803482
186,0,24,60.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00020352267762954726,-0.00025123027860046775,-0.03393175685716276,0.04188567499168321,0.00045488321056130174,-0.001054929453745005,-0.06633367999438775,0.1538358663865107,-0.000441295988133867,0.0003535903879147167,0.16614166175053596,-0.13312175094904116,8.740782233155575e-05,-5.655195811349223e-05,-0.04528902711477461,0.02930153270127765,2220.283575509467,-4382.621748017287,3301.4526617633774,-1081.16908625391,-2525.4052515472804,1856.3519456124934,-2190.878598579887,-334.5266529673935,-3489.1662410868266,4052.2723171002954,-3770.719279093561,281.55303800673437
185,0,25,66.66666666666669,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00020182149192870193,-0.0002295890902873358,-0.03364813136519161,0.03827760758369694,0.00046193589853767896,-0.0011360340572586234,-0.06736214342513956,0.1656630050687792,-0.00039639039130107053,0.0003619212151786194,0.1492353433603556,-0.1362581889013427,8.931329324931957e-05,-7.332023944411252e-05,-0.046276317745739856,0.03798976136998877,2244.153209616379,-4567.793075876962,3405.9731427466704,-1161.8199331302912,-2114.1682856407065,1706.1040734393648,-1910.1361795400358,-204.03210610067083,-3289.951709510559,4466.998793026441,-3878.4752512685,588.5235417579408
124,0,26,73.33333333333334,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,-7.411641436888674e-05,8.234321639442073e-05,0.012356854679690388,-0.013728445547566756,0.0004368615630011901,-0.0008898692941780123,-0.06370565993458169,0.12976584676316844,-0.00031916107731350503,0.0002619346314679215,0.12015960529165655,-0.09861466252191138,6.391177757829013e-05,-4.143958888597108e-05,-0.03311491066231105,0.021471289578213346,1113.3717962438259,-2575.2772689967114,1844.3245326202687,-730.9527363764428,-1844.9864493920343,1422.24846129299,-1633.6174553425121,-211.36899404952214,-3353.4483439925266,3946.9996507731576,-3650.223997382842,296.7756533903155
123,0,27,80.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,-4.862198690527812e-05,6.286346449014177e-05,0.008106366606403806,-0.01048073766089592,0.00048140295273464874,-0.001002077282995689,-0.0702009409748266,0.1461286595692536,-0.0003065604546279894,0.00027090093928710076,0.11541565010430957,-0.10199034986306477,5.8273493021498446e-05,-3.990298126876297e-05,-0.030193519700244184,0.020675119828364952,1358.2714143522626,-3016.8538286785106,2187.5626215153866,-829.291207163124,-1774.5047669867404,1463.0112372350973,-1618.7580021109188,-155.74676487582155,-3280.68596691433,4189.605613251094,-3735.1457900827118,454.45982316838194
62,0,28,86.66666666666669,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,-9.629817152096783e-05,0.00015757203025357853,0.01605504693578409,-0.026270761962880602,0.00036240200775495386,-0.000619564215373014,-0.052847540321563684,0.09034840909563296,-0.0002345654214541737,0.00020151426696255712,0.08831054430023363,-0.07586725481275902,4.7422152973504396e-05,-2.8900539489181516e-05,-0.024571063716830197,0.014974372792315047,794.0718590729293,-1406.4655608715693,1100.2687099722493,-306.19685089932,-1346.822782271971,1187.4102267565513,-1267.1165045142611,-79.70627775770981,-2672.105276367124,3109.4397756351204,-2890.772526001122,218.66724963399815
61,0,29,93.33333333333334,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,-7.819120174476099e-05,0.00013577912500921228,0.013036212361562435,-0.02263739996815974,0.00039699966872271884,-0.0007043542304098637,-0.05789276977366447,0.10271297563400546,-0.00022195483531877426,0.0001937696422029781,0.08356283801574331,-0.07295151376414455,4.1373279809574076e-05,-2.6965635149741866e-05,-0.02143693254381077,0.01397183168379756,977.9626115250242,-1769.310069683916,1373.6363406044702,-395.67372907944593,-1287.6840699044376,1099.8329510286742,-1193.758510466556,-93.9255594378817,-2592.5029448409964,3192.6229301394037,-2892.5629374902,300.05999264920365
