f_GHz,y_fit,y_model,residuals,baseline_raw
2.8872,0.9860250104279973,0.9998408610245967,-0.0138158505965994,0.07671198892915632
2.8874,0.989352635910111,0.9998400092161088,-0.010487373305997805,0.07671324078029329
2.8876,0.9892975049163709,0.9998391444796144,-0.010541639563243499,0.07671451254158246
2.8878,0.9951676570993955,0.9998382666304285,-0.004670609531033043,0.07671580421302382
2.888,0.9921427419179021,0.9998373754797782,-0.007694633561876163,0.07671711579461782
2.8882,0.9903956866699535,0.999836470834704,-0.009440784164750471,0.07671844728636446
2.8884,0.9816388501823221,0.9998355524979591,-0.01819670231563697,0.07671979868826373
2.8886,0.9744311216509693,0.9998346202679048,-0.02540349861693547,0.07672117000031564
2.8888,0.9695598440791898,0.9998336739384017,-0.030273829859211898,0.0767225612225193
2.889,0.9773257132954986,0.9998327132986997,-0.02250700000320116,0.07672397235487649
2.8892,0.9829095801135903,0.999831738133324,-0.016922158019733735,0.07672540339738543
2.8894,0.9878992228820799,0.9998307482219552,-0.011931525339875293,0.07672685435004745
2.8896,0.993520889851552,0.99982974333931,-0.006308853487758004,0.07672832521286166
2.8898,0.9941598597623342,0.9998287232550138,-0.005668863492679588,0.07672981598582851
2.89,0.9957278548526488,0.9998276877334734,-0.004099832880824605,0.07673132666894755
2.8902,0.9945205674303402,0.9998266365337419,-0.0053060691034017005,0.07673285726221923
2.8904,0.997159219120921,0.9998255694093819,-0.0026663502884609613,0.076734407765644
2.8906,0.9952286833936429,0.9998244861083235,-0.00459580271468063,0.07673597817922095
2.8908,0.9969374631066406,0.9998233863727187,-0.002885923266078172,0.0767375685029501
2.891,0.9986201014203802,0.999822269938788,-0.0012021685184078201,0.07673917873683234
2.8912,0.9941723148397941,0.999821136536668,-0.0056488216968739735,0.07674080888086632
2.8914,0.9992097715354907,0.999819985890247,-0.0006102143547562777,0.07674245893505383
2.8916,0.9964650937569983,0.9998188177170019,-0.0033537239600035518,0.07674412889939308
2.8918,0.9991144088632675,0.9998176317278241,-0.0007032228645565963,0.07674581877388498
2.892,0.9957886413798288,0.9998164276268444,-0.004027786247015608,0.07674752855852995
2.8922,0.9965662499294328,0.9998152051112497,-0.0032489551818168927,0.07674925825332668
2.8924,0.9970080672661276,0.999813963871093,-0.002805896604965441,0.07675100785827649
2.8926,0.9986238196856424,0.9998127035891002,-0.001188883903457838,0.07675277737337849
2.8928,0.9972586106322026,0.9998114239404672,-0.002552813308264623,0.07675456679863313
2.893,0.9988608613091473,0.9998101245926515,-0.0009492632835041981,0.0767563761340404
2.8932,0.9983080531380698,0.9998088052051584,-0.001500752067088551,0.07675820537959988
2.8934,0.9999999999999989,0.9998074654293165,0.0001925345706823567,0.07676005453531198
2.8936,0.9972533475386216,0.9998061049080502,-0.0025527573694286154,0.07676192360117717
2.8938,0.9972030042999098,0.9998047232756392,-0.0026017189757293613,0.07676381257719411
2.894,0.9960686978594171,0.9998033201574745,-0.003734622298057433,0.07676572146336413
2.8942,0.9965210066771092,0.9998018951698036,-0.003280888492694367,0.0767676502596859
2.8944,0.9963925061741807,0.9998004479194664,-0.003407941745285692,0.07676959896616076
2.8946,1.0007014542833206,0.9997989780036244,0.000902476279696196,0.07677156758278825
2.8948,1.0032297265866936,0.9997974850094783,0.0034322415772153336,0.07677355610956793
2.895,1.0017329255206169,0.9997959685139767,0.0019369570066402053,0.0767755645465007
2.8952,1.0028673964315773,0.9997944280835127,0.0030729683480645864,0.07677759289358566
2.8954,1.0019248184262082,0.9997928632736145,0.0021319551525936786,0.07677964115082281
2.8956,1.0004531890344885,0.999791273628619,0.0006619154058695731,0.07678170931821304
2.8958,1.0022446339278082,0.9997896586813371,0.0024549752464710917,0.07678379739575503
2.896,1.0029136052067706,0.9997880179527081,0.003125587254062534,0.07678590538345009
2.8962,0.9999451772575775,0.9997863509514383,0.00015882630613917037,0.0767880332812978
2.8964,1.0000848721111004,0.9997846571736285,0.00030021493747189876,0.0767901810892977
2.8966,0.9990893813298686,0.9997829361023879,-0.0006935547725193114,0.07679234880745023
2.8968,1.0001829102262108,0.9997811872074327,0.00040172301877805516,0.0767945364357554
2.897,1.00121163691884,0.999779409944672,0.001432226974168005,0.07679674397421277
2.8972,0.9995061585960551,0.9997776037557758,-0.00027144515972077343,0.07679897142282321
2.8974,1.0005214312615522,0.9997757680677282,0.0007456631938240754,0.07680121878158586
2.8976,0.9984802862640146,0.999773902292364,-0.0012936160283493203,0.07680348605050114
2.8978,1.0002171057006477,0.9997720058258874,0.0004450998747602686,0.07680577322956861
2.898,1.0000968029986355,0.9997700780483721,0.00032672495026331294,0.07680808031878872
2.8982,1.0016395445081492,0.9997681183232433,0.0018714261849058778,0.07681040731816147
2.8984,1.0004098568986437,0.9997661259967386,0.0006437309019050597,0.07681275422768685
2.8986,0.9990768416248895,0.999764100397349,-0.0006872587724594537,0.07681512104736443
2.8988,0.9973439800007433,0.9997620408352375,-0.00241806083449414,0.07681750777719465
2.899,0.9983570009045172,0.9997599466016361,-0.0014029456971189624,0.0768199144171775
2.8992,1.0007620100562864,0.9997578169682163,0.0010041930880700933,0.076822340967313
2.8994,1.0039400886244576,0.9997556511864395,0.004184437438018107,0.07682478742760068
2.8996,1.000221050031471,0.9997534484868761,0.0004676015445949089,0.076827253798041
2.8998,0.9984871327380105,0.9997512080785012,-0.0012640753404906668,0.07682974007863397
2.9,1.001651308873596,0.9997489291479603,0.0019023797256357833,0.07683224626937957
2.9002,1.0027140003453026,0.9997466108588051,0.0029673894864974404,0.07683477237027736
2.9004,0.9982468722736628,0.9997442523506995,-0.001497380077036703,0.07683731838132779
2.9006,1.0005464146278997,0.9997418527385907,0.0008045618893089967,0.07683988430253086
2.9008,0.999894102501072,0.9997394111118484,0.0001546913892236379,0.07684247013388612
2.901,0.9975790295802027,0.9997369265333667,-0.002157896953163929,0.07684507587539446
2.9012,0.9986017212947857,0.999734398038628,-0.0011326767438422092,0.076847701527055
2.9014,0.9975492662130746,0.9997318246347299,-0.0021825584216552674,0.07685034708886773
2.9016,0.99761776145301,0.9997292052993683,-0.0021114438463583074,0.07685301256083354
2.9018,0.9977633105065605,0.9997265389797771,-0.001963228473216616,0.07685569794295155
2.902,0.9972643050252894,0.999723824591625,-0.0024595195663356106,0.0768584032352222
2.9022,0.9982211108757166,0.9997210610178608,-0.001499950142144213,0.07686112843764548
2.9024,0.9977216076543005,0.9997182471075124,-0.0019966394532119347,0.07686387355022095
2.9026,0.9987293491862032,0.9997153816744287,-0.0009860324882255966,0.07686663857294951
