pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz,variation,lab_axis,run_name,offset_mm
2,2,7,2.8191011722706807,2.9231885025766493,0.0434288044236072,0.0922568438424793,2.8711448374236648,-0.0422704662619288,0.1040873303059686,104.08733030596862,52.04366515298431,0.0307116714796759,0.0149651400714868,2.8711871078899267,Variation Along Y,y,0cm-0.4mm,-0.4
3,3,6,2.83550345726384,2.908082300981982,0.088968161386114,0.082532378963307,2.8717928791229106,0.6057712329838871,0.0725788437181425,72.5788437181425,36.28942185907125,0.0148138882064724,0.0160496998597268,2.8711871078899267,Variation Along Y,y,0cm-0.4mm,-0.4
4,4,5,2.843311139690267,2.900981434676454,0.0532439888681435,0.0562173899917532,2.8721462871833605,0.9591792934338096,0.0576702949861878,57.67029498618781,28.835147493093903,0.0251278836873983,0.0236646647095281,2.8711871078899267,Variation Along Y,y,0cm-0.4mm,-0.4
1,1,8,2.8108955935203457,2.94597912469812,0.1735483878739454,0.8069627990837184,2.878437359109233,1.9876855718439224,0.1350835311777745,135.0835311777745,67.54176558888724,0.0117270709182413,0.0024969759617309,2.876449673537389,Variation Along Y,y,0cm-0.3mm,-0.3
2,2,7,2.8195499358655565,2.9304146153658768,0.0794475943349253,0.2427961213821665,2.8749822756157166,-1.4673979216723865,0.1108646795003203,110.8646795003203,55.43233975016015,0.0261426646791536,0.0084882305962804,2.876449673537389,Variation Along Y,y,0cm-0.3mm,-0.3
3,3,6,2.8352742678690963,2.922841392698627,0.1639574215586646,0.1197317479090537,2.8790578302838616,2.608156746472634,0.0875671248295306,87.56712482953066,43.78356241476533,0.0124700931333568,0.0173913267305452,2.876449673537389,Variation Along Y,y,0cm-0.3mm,-0.3
4,4,5,2.843645746706612,2.9029967115748767,0.0850547089644703,0.1009308660709462,2.8733212291407444,-3.128444396644614,0.0593509648682646,59.35096486826463,29.67548243413232,0.0243931032123707,0.0202983629566322,2.876449673537389,Variation Along Y,y,0cm-0.3mm,-0.3
1,1,8,2.810847040944955,2.9303543344474416,0.0751418057177913,0.0793263667338596,2.8706006876961982,-0.8446095803957832,0.1195072935024867,119.5072935024868,59.753646751243394,0.0122580853873525,0.0116364799959567,2.871445297276594,Variation Along Y,y,0cm-0.2mm,-0.2
2,2,7,2.819997975037823,2.9224616132614027,0.0318177033715895,0.0431757915730164,2.8712297941496128,-0.2155031269812646,0.1024636382235799,102.46363822357996,51.23181911178997,0.0289924999990583,0.0212922601393443,2.871445297276594,Variation Along Y,y,0cm-0.2mm,-0.2
3,3,6,2.834999217750475,2.908595385927802,0.0609789804447675,0.0672202295713644,2.8717973018391385,0.3520045625444723,0.0735961681773273,73.5961681773274,36.7980840886637,0.0149915244337695,0.0136716767878118,2.871445297276594,Variation Along Y,y,0cm-0.2mm,-0.2
4,4,5,2.843830662895532,2.9004761479473204,0.0353053193747876,0.0432195890948073,2.872153405421426,0.7081081448321314,0.0566454850517885,56.64548505178857,28.322742525894284,0.0262980180779239,0.0213080183805103,2.871445297276594,Variation Along Y,y,0cm-0.2mm,-0.2
1,1,8,2.810716697292584,2.958927613394481,0.1092766632140098,1.1806064763930912,2.8848221553435325,9.814181735321448,0.1482109161018971,148.21091610189717,74.10545805094858,0.0117369286168897,0.0014860785529906,2.875007973608211,Variation Along Y,y,0cm-0.1mm,-0.1
2,2,7,2.8204589425163684,2.9220496043144397,0.0450769429808923,0.0666402382668025,2.871254273415404,-3.753700192807408,0.1015906617980708,101.59066179807084,50.79533089903543,0.0285514301055496,0.0192007578696463,2.875007973608211,Variation Along Y,y,0cm-0.1mm,-0.1
3,3,6,2.83480776653053,2.908800751883747,0.0933846867900861,0.1090712198173535,2.8718042592071384,-3.203714401072588,0.0739929853532173,73.9929853532173,36.99649267660865,0.0137533218177678,0.0117717533362357,2.875007973608211,Variation Along Y,y,0cm-0.1mm,-0.1
4,4,5,2.8441070016317105,2.900195411301828,0.051173419948079,0.0621767579377003,2.8721512064667687,-2.85676714144234,0.0560884096701168,56.08840967011686,28.04420483505843,0.025142074377651,0.0207564960503082,2.875007973608211,Variation Along Y,y,0cm-0.1mm,-0.1
1,1,8,2.810718474974199,2.9305685567174846,0.0705795275068393,0.08717485307431,2.870643515845842,-0.8283242124913492,0.1198500817432854,119.85008174328549,59.92504087164274,0.0121115428147029,0.0096629128460377,2.871471840058333,Variation Along Y,y,0cm-0.0mm,-0.0
2,2,7,2.8208904548163107,2.921623268939018,0.0286200555443662,0.0415622565126946,2.871256861877664,-0.2149781806690676,0.1007328141227072,100.7328141227073,50.36640706135365,0.029965840219661,0.0205742658317355,2.871471840058333,Variation Along Y,y,0cm-0.0mm,-0.0
