rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
33,142,"(1, 2, 0, 3)","(1, 1, 1, -1)",-2.1005139480872324e-10,89.83846013907728,-2.5401648523120305e-10,3.1593498339348023e-09,1.1858319871958284e-21,6.656401994314458e-15,0.9999960254875557,True
34,370,"(3, 2, 1, 0)","(-1, -1, 1, -1)",29.999999999964718,89.83846013900848,-2.2378820357825962e-10,3.1593498394061426e-09,9.078980377974647e-22,3.706659875494282e-15,0.9999960254875523,True
35,135,"(1, 2, 0, 3)","(-1, 1, 1, 1)",-2.826316514888926e-09,89.83846013899948,29.999999997886583,3.159349840111417e-09,1.6692207072614749e-22,7.123907043836157e-15,0.9999960254875518,True
36,114,"(1, 0, 3, 2)","(-1, -1, 1, -1)",-8.215053534364421e-10,89.83846013892568,9.770023660210181e-10,3.159349845759446e-09,7.413023671469944e-23,5.115064680903871e-15,0.9999960254875483,True
37,127,"(1, 0, 3, 2)","(1, 1, 1, 1)",1.3046851459202658e-11,89.8384601388902,30.000000000922302,3.1593498485835068e-09,7.411404861406007e-23,1.9694075549100145e-15,0.9999960254875465,True
38,192,"(2, 0, 1, 3)","(-1, -1, -1, -1)",3.83235772149548e-10,89.83846013883002,30.000000000566892,3.1593498533499436e-09,9.079108925295828e-22,2.6890937069068348e-15,0.9999960254875435,True
39,178,"(1, 3, 2, 0)","(-1, -1, 1, -1)",30.00000000087539,89.83846013880951,6.856523825925665e-10,3.159349854938033e-09,4.632195047829039e-22,3.1401849173675502e-15,0.9999960254875425,True
40,189,"(1, 3, 2, 0)","(1, 1, -1, 1)",30.00000000087539,89.83846013880951,6.856523825925665e-10,3.159349854938033e-09,4.632195047829039e-22,3.1401849173675502e-15,0.9999960254875425,True
41,145,"(1, 2, 3, 0)","(-1, -1, -1, 1)",-2.8134188607122317e-09,89.83846013875954,29.999999998648885,3.1593498588215617e-09,9.079032993518294e-22,3.413522074661599e-15,0.9999960254875401,True
42,273,"(2, 3, 1, 0)","(-1, -1, -1, 1)",3.889632876140737e-09,89.83846013874926,29.999999999975515,3.1593498597033396e-09,1.6675894730898907e-22,4.6927994776487e-15,0.9999960254875395,True
43,286,"(2, 3, 1, 0)","(1, 1, 1, -1)",3.889632876140737e-09,89.83846013874926,29.999999999975515,3.1593498597033396e-09,1.6675894730898907e-22,4.6927994776487e-15,0.9999960254875395,True
