variation,lab_axis,run_name,offset_mm,pair_id,nv_axis,nu_left_GHz,nu_right_GHz,splitting_MHz,pair_center_minus_D_eff_MHz,D_eff_GHz,nu_left_MHz,nu_right_MHz,nu0_left_MHz,delta_nu_left_MHz
Variation Along X,x,0cm-0.2mm,-0.2,3,d4,2.834803576171867,2.9090241050653893,74.22052889352227,0.3744001727064017,2.871539440445922,2834.803576171867,2909.0241050653894,2834.466860439515,0.3367157323518768
Variation Along X,x,0cm-0.2mm,-0.2,4,d1,2.8452493086049646,2.8993074244066714,54.05811580170683,0.7389260598964498,2.871539440445922,2845.2493086049644,2899.3074244066715,2844.3763128859005,0.8729957190639652
Variation Along X,x,0cm-0.1mm,-0.1,1,d3,2.809967306156772,2.931333536514859,121.3662303580878,-0.838336210025048,2.8714887575458405,2809.967306156772,2931.333536514859,2810.708892569604,-0.7415864128320209
Variation Along X,x,0cm-0.1mm,-0.1,2,d2,2.8204116833971917,2.922067015385335,101.6553319881437,-0.2494081545774129,2.8714887575458405,2820.4116833971916,2922.067015385335,2820.8853631008446,-0.47367970365303336
Variation Along X,x,0cm-0.1mm,-0.1,3,d4,2.834684609860815,2.908968411569067,74.2838017082521,0.337753169100452,2.8714887575458405,2834.684609860815,2908.968411569067,2834.466860439515,0.21774942129968622
Variation Along X,x,0cm-0.1mm,-0.1,4,d1,2.844775145116831,2.899702352365852,54.92720724902122,0.7499911955006766,2.8714887575458405,2844.775145116831,2899.702352365852,2844.3763128859005,0.39883223093056586
Variation Along X,x,0cm-0.0mm,0.0,1,d3,2.810708892569604,2.9305449588310166,119.83606626141264,-0.8256032156821469,2.8714525289159925,2810.708892569604,2930.5449588310166,2810.708892569604,0.0
Variation Along X,x,0cm-0.0mm,0.0,2,d2,2.8208853631008446,2.92159434613265,100.7089830318053,-0.2126742992452079,2.8714525289159925,2820.8853631008446,2921.59434613265,2820.8853631008446,0.0
Variation Along X,x,0cm-0.0mm,0.0,3,d4,2.834466860439515,2.9091256598107607,74.65879937124554,0.343731209145659,2.8714525289159925,2834.466860439515,2909.1256598107607,2834.466860439515,0.0
Variation Along X,x,0cm-0.0mm,0.0,4,d1,2.8443763128859003,2.8999178375576484,55.54152467174811,0.6945463057821399,2.8714525289159925,2844.3763128859005,2899.9178375576485,2844.3763128859005,0.0
